298.00,-26.21
298.00,-26.16
298.00,-26.11
298.00,-26.06
298.00,-26.01
298.00,-25.96
298.00,-25.91
298.00,-25.86
298.00,-25.81
298.00,-25.76
298.00,-25.71
298.00,-25.66
298.00,-25.61
297.98,-25.54
297.95,-25.46
297.95,-25.41
297.95,-25.36
297.95,-25.31
297.93,-25.23
297.90,-25.16
297.79,-25.09
297.68,-25.01
297.56,-24.93
297.51,-24.87
297.45,-24.81
297.45,-24.76
297.43,-24.69
297.40,-24.61
297.40,-24.56
297.40,-24.51
297.40,-24.46
297.38,-24.38
297.35,-24.31
297.35,-24.26
297.35,-24.21
297.35,-24.16
297.33,-24.09
297.30,-24.01
297.30,-23.96
297.30,-23.91
297.28,-23.84
297.25,-23.76
297.18,-23.69
297.10,-23.61
297.04,-23.55
296.98,-23.48
296.95,-23.41
296.93,-23.34
297.00,-23.26
296.98,-23.19
296.95,-23.11
296.95,-23.06
296.95,-23.01
296.95,-22.96
296.95,-22.91
296.95,-22.86
296.95,-22.81
296.95,-22.76
296.95,-22.71
296.95,-22.66
296.95,-22.61
296.95,-22.56
296.95,-22.51
297.00,-22.41
297.00,-22.36
297.00,-22.31
297.00,-22.26
297.00,-22.21
297.05,-22.11
297.05,-22.06
297.05,-22.01
297.10,-21.91
297.10,-21.86
297.10,-21.81
297.15,-21.71
297.15,-21.66
297.20,-21.56
297.20,-21.51
297.15,-21.41
297.08,-21.34
297.10,-21.26
297.10,-21.21
297.15,-21.11
297.15,-21.06
297.15,-21.01
297.15,-20.96
297.15,-20.91
297.15,-20.86
297.15,-20.81
297.20,-20.68
297.28,-20.59
297.33,-20.51
297.38,-20.44
297.44,-20.37
297.50,-20.31
297.45,-20.21
297.45,-20.16
297.43,-20.09
297.40,-20.01
297.35,-19.91
297.30,-19.81
297.28,-19.73
297.25,-19.66
297.20,-19.56
297.15,-19.46
297.10,-19.36
297.00,-19.21
296.95,-19.11
296.95,-19.06
296.90,-18.96
296.85,-18.86
296.80,-18.76
296.73,-18.66
296.65,-18.56
296.63,-18.48
296.60,-18.41
296.58,-18.34
296.55,-18.26
296.55,-18.21
296.53,-18.13
296.50,-18.06
296.50,-18.01
296.48,-17.94
296.45,-17.86
296.45,-17.81
296.43,-17.73
296.40,-17.66
296.40,-17.61
296.38,-17.54
296.35,-17.46
296.35,-17.41
296.33,-17.34
296.30,-17.26
296.30,-17.21
296.25,-17.11
296.15,-17.01
296.10,-16.93
296.05,-16.86
296.05,-16.81
296.03,-16.73
296.00,-16.66
295.95,-16.56
295.90,-16.46
295.90,-16.41
295.85,-16.31
295.80,-16.21
295.75,-16.11
295.75,-16.06
295.70,-15.96
295.65,-15.86
295.63,-15.79
295.60,-15.71
295.60,-15.66
295.60,-15.61
295.60,-15.56
295.60,-15.51
295.60,-15.46
295.60,-15.41
295.60,-15.36
295.60,-15.31
295.50,-15.16
295.18,-14.86
294.99,-14.71
294.80,-14.56
294.70,-14.51
294.65,-14.51
294.60,-14.51
294.55,-14.51
294.50,-14.51
294.40,-14.46
294.30,-14.41
294.20,-14.36
294.10,-14.18
294.03,-14.10
293.95,-14.01
293.85,-13.96
293.75,-13.91
293.70,-13.91
293.55,-13.81
293.45,-13.76
293.40,-13.76
293.30,-13.71
293.20,-13.66
293.15,-13.66
293.05,-13.61
293.00,-13.61
292.95,-13.61
292.90,-13.61
292.80,-13.56
292.73,-13.53
292.65,-13.51
292.60,-13.51
292.50,-13.46
292.45,-13.46
292.40,-13.46
292.35,-13.46
292.30,-13.46
292.20,-13.41
292.15,-13.41
292.10,-13.41
292.05,-13.41
291.95,-13.36
291.90,-13.36
291.85,-13.36
291.75,-13.31
291.70,-13.31
291.65,-13.31
291.55,-13.26
291.50,-13.26
291.40,-13.21
291.30,-13.16
290.77,-12.59
290.49,-12.25
290.32,-12.03
290.21,-11.87
290.10,-11.71
290.05,-11.61
290.03,-11.54
290.00,-11.46
289.95,-11.36
289.90,-11.26
289.88,-11.18
289.85,-11.11
289.80,-11.01
289.78,-10.93
289.75,-10.86
289.73,-10.79
289.70,-10.71
289.68,-10.64
289.65,-10.56
289.63,-10.48
289.60,-10.41
289.58,-10.34
289.55,-10.26
289.53,-10.18
289.50,-10.11
289.50,-10.06
289.48,-9.98
289.45,-9.91
289.45,-9.86
289.45,-9.81
289.45,-9.76
