-81.9260,-3.7210,21.3501
-81.9365,-3.8189,19.4452
-81.9470,-3.9167,17.5402
-81.9575,-4.0146,15.6353
-81.9680,-4.1125,13.7303
-81.9785,-4.2104,11.8253
-81.9890,-4.3082,9.9204
-81.9995,-4.4061,8.0155
-82.0100,-4.5040,6.1106
-82.0085,-4.5976,5.2324
-82.0070,-4.6913,4.3542
-82.0055,-4.7849,3.4760
-82.0040,-4.8785,2.5978
-82.0025,-4.9721,1.7196
-82.0010,-5.0657,0.8414
-81.9995,-5.1593,359.9632
-81.9980,-5.2530,359.0849
-81.9925,-5.3468,358.7813
-81.9870,-5.4405,358.4778
-81.9815,-5.5343,358.1743
-81.9760,-5.6280,357.8708
-81.9705,-5.7218,357.5672
-81.9650,-5.8155,357.2637
-81.9595,-5.9093,356.9601
-81.9540,-6.0030,356.6566
-81.9115,-6.1660,353.8578
-81.8690,-6.3290,351.0591
-81.8265,-6.4920,348.2604
-81.7840,-6.6550,345.4616
-81.7253,-6.8178,344.1645
-81.6665,-6.9805,342.8674
-81.6078,-7.1433,341.5703
-81.5490,-7.3060,340.2732
-81.5055,-7.4765,341.6542
-81.4620,-7.6470,343.0353
-81.4185,-7.8175,344.4164
-81.3750,-7.9880,345.7975
-81.3332,-8.0726,344.3174
-81.2915,-8.1572,342.8372
-81.2498,-8.2418,341.3570
-81.2080,-8.3265,339.8768
-81.1662,-8.4111,338.3967
-81.1245,-8.4957,336.9165
-81.0828,-8.5803,335.4364
-81.0410,-8.6650,333.9562
-80.9985,-8.7612,334.2598
-80.9560,-8.8573,334.5634
-80.9135,-8.9534,334.8671
-80.8710,-9.0495,335.1707
-80.8285,-9.1456,335.4744
-80.7860,-9.2417,335.7780
-80.7435,-9.3378,336.0816
-80.7010,-9.4340,336.3853
-80.6178,-9.5557,333.7864
-80.5345,-9.6775,331.1876
-80.4512,-9.7993,328.5888
-80.3680,-9.9210,325.9900
-80.3216,-10.0009,326.5195
-80.2752,-10.0808,327.0490
-80.2288,-10.1607,327.5785
-80.1825,-10.2405,328.1080
-80.1362,-10.3204,328.6375
-80.0898,-10.4002,329.1670
-80.0434,-10.4801,329.6965
-79.9970,-10.5600,330.2259
-79.9496,-10.6514,330.5707
-79.9023,-10.7428,330.9155
-79.8549,-10.8342,331.2603
-79.8075,-10.9255,331.6051
-79.7601,-11.0168,331.9498
-79.7127,-11.1082,332.2946
-79.6653,-11.1996,332.6394
-79.6180,-11.2910,332.9842
-79.5591,-11.3659,331.6545
-79.5002,-11.4408,330.3248
-79.4413,-11.5157,328.9951
-79.3825,-11.5905,327.6654
-79.3236,-11.6654,326.3357
-79.2647,-11.7402,325.0060
-79.2058,-11.8151,323.6763
-79.1470,-11.8900,322.3466
-79.0867,-11.9839,323.0351
-79.0265,-12.0777,323.7235
-78.9663,-12.1716,324.4119
-78.9060,-12.2655,325.1003
-78.8458,-12.3594,325.7887
-78.7855,-12.4533,326.4771
-78.7253,-12.5472,327.1655
-78.6650,-12.6410,327.8540
-78.6005,-12.7342,327.3841
-78.5360,-12.8275,326.9141
-78.4715,-12.9207,326.4442
-78.4070,-13.0140,325.9742
-78.3423,-13.1073,325.9584
-78.2775,-13.2005,325.9427
-78.2127,-13.2937,325.9270
-78.1480,-13.3870,325.9113
-78.0844,-13.4529,324.7668
-78.0207,-13.5188,323.6222
-77.9571,-13.5846,322.4776
-77.8935,-13.6505,321.3330
-77.8298,-13.7163,320.1884
-77.7662,-13.7822,319.0439
-77.7026,-13.8481,317.8993
-77.6390,-13.9140,316.7547
-77.5747,-13.9832,316.8997
-77.5105,-14.0523,317.0446
-77.4462,-14.1214,317.1895
-77.3820,-14.1905,317.3345
-77.3178,-14.2596,317.4794
-77.2535,-14.3287,317.6244
-77.1893,-14.3979,317.7694
-77.1250,-14.4670,317.9143
-77.0350,-14.5610,317.7221
-76.9450,-14.6550,317.5299
-76.8550,-14.7490,317.3376
-76.7650,-14.8430,317.1454
-76.6745,-14.9370,317.1179
-76.5840,-15.0310,317.0904
-76.4935,-15.1250,317.0629
-76.4030,-15.2190,317.0354
-76.2812,-15.3483,317.2018
-76.1595,-15.4775,317.3683
-76.0377,-15.6067,317.5347
-75.9160,-15.7360,317.7012
-75.9160,-15.7360,316.1698
-75.8380,-15.8102,315.9784
-75.7600,-15.8845,315.7870
-75.6820,-15.9588,315.5956
-75.6040,-16.0330,315.4041
-75.5260,-16.1073,315.2127
-75.4480,-16.1815,315.0213
-75.3700,-16.2557,314.8298
-75.2920,-16.3300,314.6384
-75.2066,-16.3916,313.6694
-75.1213,-16.4532,312.7003
-75.0359,-16.5148,311.7313
-74.9505,-16.5765,310.7623
-74.8651,-16.6381,309.7933
-74.7798,-16.6998,308.8243
-74.6944,-16.7614,307.8552
-74.6090,-16.8230,306.8862
-74.5265,-16.8919,307.4052
-74.4440,-16.9608,307.9242
-74.3615,-17.0297,308.4432
-74.2790,-17.0985,308.9622
-74.1965,-17.1673,309.4812
-74.1140,-17.2362,310.0002
-74.0315,-17.3051,310.5192
-73.9490,-17.3740,311.0382
-73.8117,-17.4672,309.6266
-73.6745,-17.5605,308.2150
-73.5373,-17.6538,306.8034
-73.4000,-17.7470,305.3917
-73.3171,-17.8107,305.8257
-73.2343,-17.8745,306.2597
-73.1514,-17.9383,306.6938
-73.0685,-18.0020,307.1278
-72.9856,-18.0658,307.5618
-72.9027,-18.1295,307.9959
-72.8199,-18.1932,308.4299
-72.7370,-18.2570,308.8639
